Section,Topic,Details,Example
TIPS,Do One State at a Time,Don't try to set up all 50 states at once. Take breaks to avoid confusion.,"Monday: 5 states, Tuesday: 5 states, etc."
TIPS,Automation-Enabled States First,"Focus on states with automation enabled (CA, FL, GA, MI, NY, OH, TX) for immediate ROI","These states have Playwright bots ready"
TIPS,Keep a Spreadsheet,"Use the State MFA Tracking Checklist CSV to track your progress","Mark each state as: Not Started, In Progress, or Complete"
TIPS,Store Backup Codes Safely,"Save backup codes in a password manager or secure document. Each can only be used once.","Use: LastPass, 1Password, or encrypted file"
TIPS,Test After Setup,"After adding credentials for a state, test a submission to verify everything works","Submit a test WOTC form through the automation"
,,,
TROUBLESHOOTING,Can't Find MFA Settings,"Look for: Security, Account Settings, Two-Factor Auth, Login Security, Advanced Security","Try searching portal help docs for 'MFA' or '2FA'"
TROUBLESHOOTING,QR Code but No Secret,"Look for links like: 'Can't scan?', 'Manual entry', 'Enter code manually', or 'Trouble scanning?'","These reveal the text secret key"
TROUBLESHOOTING,MFA Not Offered,"Some states may not require MFA yet. Mark as 'N/A' and just enter User ID/Password","Status: No MFA Required"
TROUBLESHOOTING,Forgot to Save Backup Codes,"Most portals let you regenerate backup codes in Security Settings. Old codes become invalid.","Generate new set: Security → Regenerate Backup Codes"
TROUBLESHOOTING,Wrong Secret Key Format,"Secret should be 16-32 alphanumeric characters (no spaces). If it has spaces, remove them.","Wrong: JBSW Y3DP EHPK 3PXP, Right: JBSWY3DPEHPK3PXP"
,,,
CHECKLIST,Before You Start,"Have: 1) Login credentials ready, 2) Password manager open, 3) Tracking spreadsheet, 4) Time (2-3 min per state)",
CHECKLIST,During Setup,"Do: 1) Log into state portal, 2) Enable MFA, 3) Copy secret key, 4) Save backup codes, 5) Update spreadsheet",
CHECKLIST,After Setup,"Verify: 1) Secret key saved, 2) Backup codes saved, 3) Spreadsheet updated, 4) Credentials added to platform, 5) Test submission",
,,,
QUESTIONS,How long does this take?,"2-3 minutes per state. About 2-3 hours total for all 50 states if done in one sitting (not recommended - do in batches)","Recommended: 10 states per day over 5 days"
QUESTIONS,Do all states require MFA?,"No, many states don't require MFA yet. You'll discover this as you log into each portal.","Estimate: 20-30% of states have MFA enabled"
QUESTIONS,What if I make a mistake?,"You can always edit credentials in the platform. Go to State Credentials → Edit → Update MFA info → Save",
QUESTIONS,Is my MFA info secure?,"Yes, all credentials and MFA secrets are encrypted with AES-256-GCM before storage. Even admins can't see the decrypted values in the database.",
QUESTIONS,Can I bulk upload credentials?,"Not currently. Each state must be entered individually through the State Credentials interface for security reasons.",
